User Number,inLyingGroup,attention1,attention2,AttentionChecksPassed,AcademicAtt1,AcademicAtt2,AcademicAttChksPassed,AcademicScore1,AcademicScore2,AcademicScore3,AcademicScore4,AcademicScore5,AcademicScore6,AcademicScore7,AcademicScore8,AcademicScore9,AcademicScore10,AcademicScore11,AcademicScore12,AcademicScore13,AcademicScore14,AcademicScore15,AcademicScore16,AcademicScore17,AcademicScore18,AcademicScore19,AcademicScore20,AcademicScore21,AcademicScore22,AcademicScore23,AcademicScore24,AcademicScore,TotalAcademicScore
154,1,3,3,2,4,4,2,4,4,-4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,86,0.947916667
155,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
156,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
157,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
158,1,1,3,1,2,2,0,4,4,4,4,-2,4,2,4,4,4,4,4,4,2,0,2,4,4,4,4,4,4,4,4,80,0.916666667
159,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,92,0.979166667
160,1,3,3,2,4,4,2,4,-4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88,0.958333333
161,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
162,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
163,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,2,74,0.885416667
164,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
165,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
166,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
167,1,3,3,2,4,4,2,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,92,0.979166667
168,1,-1,3,1,4,4,2,4,4,4,4,2,2,4,4,4,-4,4,-4,4,4,4,4,4,4,4,4,4,4,2,4,74,0.885416667
169,1,3,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,92,0.979166667
170,1,1,1,0,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,94,0.989583333
171,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,-4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88,0.958333333
172,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
173,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,-2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,90,0.96875
174,1,-1,3,1,4,1,1,2,0,2,-2,0,-2,-2,-2,2,2,-2,4,2,0,2,2,-2,-2,2,2,-2,0,2,0,8,0.541666667
175,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
176,1,3,3,2,4,4,2,4,0,0,2,0,2,2,0,0,2,2,2,0,0,2,0,2,2,4,4,4,4,0,4,42,0.71875
177,1,3,3,2,4,4,2,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,92,0.979166667
178,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
179,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
180,1,3,3,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,96,1
181,1,3,3,2,4,4,2,4,4,2,4,-2,4,4,2,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,80,0.916666667
